SKU_NAME,FEED_DATE,VIEWS,UNITS
B1212:PZ:V,5/1/2019,455,16
B1212:PZ:V,5/2/2019,478,12
B1212:PZ:V,5/3/2019,681,42
B1212:PZ:V,5/4/2019,662,70
B1212:PZ:V,5/5/2019,568,33
B1212:PZ:V,5/6/2019,493,47
B1212:PZ:V,5/7/2019,471,35
B1212:PZ:V,5/8/2019,495,37
B1212:PZ:V,5/9/2019,415,22
B1212:PZ:V,5/10/2019,460,46
B1212:PZ:V,5/11/2019,556,37
B1212:PZ:V,5/12/2019,465,32
B1212:PZ:V,5/13/2019,449,57
B1212:PZ:V,5/14/2019,481,31
B1212:PZ:V,5/15/2019,425,35
B1212:PZ:V,5/16/2019,411,36
B1212:PZ:V,5/17/2019,423,32
B1212:PZ:V,5/18/2019,440,30
B1212:PZ:V,5/19/2019,473,24
B1212:PZ:V,5/20/2019,388,31
B1212:PZ:V,5/21/2019,423,37
B1212:PZ:V,5/22/2019,486,38
B1212:PZ:V,5/23/2019,417,41
B1212:PZ:V,5/24/2019,414,8
B1212:PZ:V,5/25/2019,441,11
B1212:PZ:V,5/26/2019,422,12
B1212:PZ:V,5/27/2019,431,25
B1212:PZ:V,5/28/2019,431,45
B1212:PZ:V,5/29/2019,408,35
B1212:PZ:V,5/30/2019,420,18
B1212:PZ:V,5/31/2019,487,17
B1212:PZ:V,6/1/2019,383,27
B1212:PZ:V,6/2/2019,515,27
B1212:PZ:V,6/3/2019,410,8
B1212:PZ:V,6/4/2019,428,19
B1212:PZ:V,6/5/2019,490,24
B1212:PZ:V,6/6/2019,510,39
B1212:PZ:V,6/7/2019,540,39
B1212:PZ:V,6/8/2019,443,35
B1212:PZ:V,6/9/2019,494,29
B1212:PZ:V,6/10/2019,579,40
B1212:PZ:V,6/11/2019,501,30
B1212:PZ:V,6/12/2019,516,31
B1212:PZ:V,6/13/2019,546,60
B1212:PZ:V,6/14/2019,523,43
B1212:PZ:V,6/15/2019,505,33
B1212:PZ:V,6/16/2019,502,43
B1212:PZ:V,6/17/2019,570,51
B1212:PZ:V,6/18/2019,527,46
B1212:PZ:V,6/19/2019,505,41
B1212:PZ:V,6/20/2019,520,37
B1212:PZ:V,6/21/2019,451,32
B1212:PZ:V,6/22/2019,463,33
B1212:PZ:V,6/23/2019,490,31
B1212:PZ:V,6/24/2019,450,27
B1212:PZ:V,6/25/2019,526,33
B1212:PZ:V,6/26/2019,522,34
B1212:PZ:V,6/27/2019,505,42
B1212:PZ:V,6/28/2019,558,42
B1212:PZ:V,6/29/2019,499,39
B1212:PZ:V,6/30/2019,531,38
B1212:PZ:V,7/1/2019,581,36
B1212:PZ:V,7/2/2019,517,36
B1212:PZ:V,7/3/2019,560,34
B1212:PZ:V,7/4/2019,505,37
