SKU_NAME,FEED_DATE,CATEGORY,SUB_CATEGORY,ORDERED_REVENUE,ORDERED_UNITS,REP_OOS
B12020KBUI,5/18/2019,1000 Inputs,1002 Mice,0,0,0
B12020KBUI,5/19/2019,1000 Inputs,1002 Mice,0,0,0
B12020KBUI,5/22/2019,1000 Inputs,1002 Mice,0,0,0
B12020KBUI,5/23/2019,1000 Inputs,1002 Mice,0,0,0
B12020KBUI,5/27/2019,1000 Inputs,1002 Mice,0,0,0
B12020KBUI,5/28/2019,1000 Inputs,1002 Mice,0,0,0
D12125XVGK,8/17/2019,1000 Inputs,1002 Mice,49.95,1,0
D12125XVGK,8/18/2019,1000 Inputs,1002 Mice,0,0,0
D12125XVGK,8/21/2019,1000 Inputs,1002 Mice,0,0,0
D12125XVGK,8/22/2019,1000 Inputs,1002 Mice,0,0,0
C02228YPPT,6/24/2019,1000 Inputs,1004 Computer Headsets and Mics,8.5,1,0
C02228YPPT,6/25/2019,1000 Inputs,1004 Computer Headsets and Mics,0,0,0
B1212:PZ:V,5/1/2019,1000 Inputs,1006 Gamepads and Controllers,525.84,16,8.13
B1212:PZ:V,5/2/2019,1000 Inputs,1006 Gamepads and Controllers,395.88,12,0.21
B1212:PZ:V,5/3/2019,1000 Inputs,1006 Gamepads and Controllers,1385.58,42,8.22
B1212:PZ:V,5/4/2019,1000 Inputs,1006 Gamepads and Controllers,2341.3,70,12.08
B1212:PZ:V,5/5/2019,1000 Inputs,1006 Gamepads and Controllers,1104.07,33,14.08
B1212:PZ:V,5/6/2019,1000 Inputs,1006 Gamepads and Controllers,1644.53,47,12.37
B1212:PZ:V,5/7/2019,1000 Inputs,1006 Gamepads and Controllers,1224.65,35,11.68
B1212:PZ:V,5/8/2019,1000 Inputs,1006 Gamepads and Controllers,1294.63,37,15.35
B1212:PZ:V,5/9/2019,1000 Inputs,1006 Gamepads and Controllers,769.78,22,12.77
B1212:PZ:V,5/10/2019,1000 Inputs,1006 Gamepads and Controllers,1609.54,46,16.09
B1212:PZ:V,5/11/2019,1000 Inputs,1006 Gamepads and Controllers,1294.63,37,16.19
B1212:PZ:V,5/12/2019,1000 Inputs,1006 Gamepads and Controllers,1119.68,32,12.47
B1212:PZ:V,5/13/2019,1000 Inputs,1006 Gamepads and Controllers,1994.27,57,10.69
B1212:PZ:V,5/14/2019,1000 Inputs,1006 Gamepads and Controllers,1082.86,31,16.84
B1212:PZ:V,5/15/2019,1000 Inputs,1006 Gamepads and Controllers,1192.65,35,8.47
B1212:PZ:V,5/16/2019,1000 Inputs,1006 Gamepads and Controllers,1223.64,36,14.6
B1212:PZ:V,5/17/2019,1000 Inputs,1006 Gamepads and Controllers,1047.48,32,14.42
B1212:PZ:V,5/18/2019,1000 Inputs,1006 Gamepads and Controllers,984.27,30,13.41
B1212:PZ:V,5/19/2019,1000 Inputs,1006 Gamepads and Controllers,815.76,24,7.4
B1212:PZ:V,5/20/2019,1000 Inputs,1006 Gamepads and Controllers,1053.69,31,15.46
B1212:PZ:V,5/21/2019,1000 Inputs,1006 Gamepads and Controllers,1257.31,37,18.91
B1212:PZ:V,5/22/2019,1000 Inputs,1006 Gamepads and Controllers,1290.1,38,18.31
B1212:PZ:V,5/23/2019,1000 Inputs,1006 Gamepads and Controllers,1391.95,41,11.99
B1212:PZ:V,5/24/2019,1000 Inputs,1006 Gamepads and Controllers,268.58,8,10.63
